Rk,Player,GmSc,Date,Age,Team, ,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.
,Brevin Knight,28.4,2005-12-14,30-036,CHA,@,NJN,"W, 91-83",*,40,10,16,.625,10,16,.625,0,0,,5,5,1.000,.687,0,5,5,7,5,0,0,2,25,28.4,18.6,12,G
,Alonzo Mourning,28.4,1995-01-17,24-343,CHH,@,ORL,"L, 98-109",*,42,11,19,.579,11,19,.579,0,0,,11,15,.733,.645,5,7,12,1,1,6,4,4,33,28.4,9.4,,C-F
,Nick Richards,28.4,2024-10-30,26-336,CHO,,TOR,"W, 138-133",*,33,10,14,.714,10,14,.714,0,0,,4,7,.571,.703,7,7,14,4,1,4,1,3,24,28.4,6.8,-15,F-C
,Kelly Tripucka,28.4,1989-04-14,30-057,CHH,@,PHI,"W, 119-115",*,29,13,18,.722,12,17,.706,1,1,1.000,7,8,.875,.790,3,3,6,2,3,0,4,3,34,28.4,14.6,,F-G
,Nicolas Batum,28.3,2018-03-10,29-086,CHO,,PHO,"W, 122-115",*,36,11,18,.611,7,13,.538,4,5,.800,3,3,1.000,.751,3,9,12,7,1,0,2,3,29,28.3,10.5,26,F-G
,Devonte' Graham,28.3,2019-11-05,24-256,CHO,,IND,"W, 122-120 (OT)",,42,10,21,.476,6,12,.500,4,9,.444,11,15,.733,.634,0,4,4,6,3,0,2,2,35,28.3,9.6,14,G
,Eddie Jones,28.3,2000-02-07,28-110,CHH,,NYK,"W, 95-85",*,44,13,20,.650,8,13,.615,5,7,.714,3,4,.750,.781,1,3,4,5,2,0,2,4,34,28.3,15.0,13,G-F
,Eddie Jones,28.3,2000-04-14,28-177,CHH,@,MIL,"W, 109-106 (OT)",*,50,11,18,.611,4,6,.667,7,12,.583,0,0,,.806,1,5,6,3,5,0,1,2,29,28.3,13.9,6,G-F
,Anthony Mason,28.3,1997-02-22,30-070,CHH,@,ATL,"W, 93-92",*,45,9,11,.818,9,11,.818,0,0,,7,11,.636,.789,0,12,12,5,3,1,1,2,25,28.3,16.2,6,F
,Miles Bridges,28.2,2025-03-03,26-347,CHO,,GSW,"L, 101-119",*,34,11,20,.550,7,11,.636,4,9,.444,9,9,1.000,.730,1,8,9,3,0,2,3,2,35,28.2,16.7,-20,G-F
,Larry Johnson,28.2,1991-11-22,22-253,CHH,,IND,"W, 112-110",*,41,6,14,.429,6,14,.429,0,0,,13,13,1.000,.634,6,9,15,6,1,1,1,3,25,28.2,10.9,,F
,Jeremy Lamb,28.2,2017-11-03,25-157,CHO,@,SAS,"L, 101-108",*,35,10,15,.667,7,12,.583,3,3,1.000,4,5,.800,.785,1,8,9,6,2,0,0,3,27,28.2,19.6,14,G-F
,Jamal Mashburn,28.2,2002-03-22,29-113,CHH,@,ORL,"W, 106-92",*,42,11,20,.550,9,18,.500,2,2,1.000,5,5,1.000,.653,0,8,8,6,3,0,0,2,29,28.2,13.4,11,F
,Kemba Walker,28.2,2016-02-08,25-276,CHO,,CHI,"W, 108-91",*,36,8,19,.421,4,10,.400,4,9,.444,10,13,.769,.607,3,4,7,8,3,0,2,1,30,28.2,15.8,22,G
,Gerald Wallace,28.2,2007-04-04,24-255,CHA,@,WAS,"W, 108-100",*,44,11,20,.550,10,17,.588,1,3,.333,4,4,1.000,.620,1,11,12,8,4,0,2,2,27,28.2,10.5,11,F
,D.J. Augustin,28.1,2011-01-28,23-079,CHA,@,GSW,"W, 121-113 (OT)",*,40,7,13,.538,3,6,.500,4,7,.571,9,10,.900,.776,1,3,4,12,4,0,5,3,27,28.1,12.8,9,G
,LaMelo Ball,28.1,2024-12-19,23-119,CHO,@,WAS,"L, 114-123",*,34,11,32,.344,8,14,.571,3,18,.167,9,10,.900,.467,1,3,4,13,4,0,1,3,34,28.1,15.2,3,G
