Rk,Player,GmSc,Date,Age,Team, ,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.
,Gerald Henderson,9.4,2010-11-10,22-336,CHA,@,TOR,"W, 101-96",,19,3,5,.600,3,5,.600,0,0,,4,6,.667,.654,1,4,5,0,1,0,0,1,10,9.4,1.7,-6,G
,Dave Hoppen,9.4,1989-03-23,25-010,CHH,,WSB,"L, 97-102",*,25,2,5,.400,2,5,.400,0,0,,2,2,1.000,.510,1,8,9,1,1,3,0,2,6,9.4,3.3,,C-F
,Dave Hoppen,9.4,1989-01-07,24-300,CHH,,WSB,"W, 107-104",,23,3,3,1.000,3,3,1.000,0,0,,2,2,1.000,1.031,3,8,11,0,0,0,1,3,8,9.4,1.4,,C-F
,Stephen Jackson,9.4,2010-12-21,32-260,CHA,,OKC,"L, 81-99",*,35,7,17,.412,7,14,.500,0,3,.000,6,6,1.000,.509,0,3,3,4,1,0,5,3,20,9.4,-3.8,-14,F-G
,Al Jefferson,9.4,2013-11-22,28-322,CHA,,PHO,"L, 91-98",*,25,3,6,.500,3,6,.500,0,0,,3,5,.600,.549,2,4,6,3,2,3,3,4,9,9.4,5.8,-9,C-F
,Al Jefferson,9.4,2016-03-19,31-075,CHO,,DEN,"L, 93-101",,19,4,6,.667,4,6,.667,0,0,,2,2,1.000,.727,1,5,6,1,0,3,1,5,10,9.4,4.3,-2,C-F
,Al Jefferson,9.4,2014-12-23,29-353,CHO,@,MIL,"W, 108-101",*,31,6,11,.545,6,11,.545,0,0,,0,0,,.545,0,9,9,2,0,0,1,1,12,9.4,-0.7,-3,C-F
,Larry Johnson,9.4,1995-03-05,25-356,CHH,@,SAC,"L, 80-88",*,41,6,19,.316,6,15,.400,0,4,.000,1,3,.333,.320,5,7,12,7,0,0,2,1,13,9.4,-1.4,,F
,Larry Johnson,9.4,1995-04-20,26-037,CHH,,NYK,"L, 86-91",*,45,6,19,.316,6,17,.353,0,2,.000,6,6,1.000,.416,1,9,10,3,1,0,3,3,18,9.4,-2.9,,F
,Larry Johnson,9.4,1994-12-13,25-274,CHH,,MIL,"W, 107-101",*,38,5,13,.385,5,13,.385,0,0,,2,2,1.000,.432,2,4,6,3,2,0,1,3,12,9.4,-4.2,,F
,Eddie Jones,9.4,2000-03-08,28-140,CHH,@,SAC,"L, 92-105",*,33,5,8,.625,3,5,.600,2,3,.667,2,3,.667,.751,1,5,6,1,1,1,4,3,14,9.4,0.7,-18,G-F
,Michael Kidd-Gilchrist,9.4,2017-03-02,23-157,CHO,@,PHO,"L, 103-120",*,29,3,7,.429,3,7,.429,0,0,,1,2,.500,.444,5,3,8,1,6,0,3,4,7,9.4,0.2,-2,F
,Michael Kidd-Gilchrist,9.4,2016-01-29,22-125,CHO,@,POR,"L, 91-109",*,34,5,8,.625,5,8,.625,0,0,,3,6,.500,.611,1,6,7,1,0,0,2,0,13,9.4,-3.4,-2,F
,Brevin Knight,9.4,2004-11-18,29-010,CHA,,CLE,"L, 89-106",*,14,3,6,.500,3,6,.500,0,0,,2,2,1.000,.581,0,1,1,5,1,0,0,1,8,9.4,11.8,-7,G
,Jeremy Lamb,9.4,2018-12-02,26-186,CHO,,NOP,"L, 109-119",*,33,4,9,.444,3,5,.600,1,4,.250,2,3,.667,.533,1,6,7,2,2,0,2,1,11,9.4,-2.6,-16,G-F
,Jeremy Lamb,9.4,2018-12-14,26-198,CHO,,NYK,"L, 124-126 (OT)",*,38,7,21,.333,6,13,.462,1,8,.125,1,1,1.000,.373,2,7,9,5,0,1,2,1,16,9.4,-9.2,6,G-F
,Jeremy Lamb,9.4,2017-11-24,25-178,CHO,@,CLE,"L, 99-100",*,35,4,15,.267,3,9,.333,1,6,.167,2,3,.667,.337,1,6,7,7,2,1,2,1,11,9.4,1.2,-2,G-F
,Jeremy Lamb,9.4,2016-12-31,24-215,CHO,,CLE,"L, 109-121",,18,3,5,.600,2,2,1.000,1,3,.333,0,0,,.700,0,2,2,4,1,1,0,1,7,9.4,11.7,-1,G-F
,Kevin Lynch,9.4,1992-03-11,23-078,CHH,@,DAL,"W, 120-105",,21,4,8,.500,4,7,.571,0,1,.000,2,4,.500,.512,0,1,1,5,3,0,1,4,10,9.4,3.5,,G-F
,Tre Mann,9.4,2025-11-07,24-277,CHO,@,MIA,"L, 108-126",*,35,7,24,.292,5,16,.313,2,8,.250,4,4,1.000,.388,1,8,9,7,1,0,4,4,20,9.4,-6.6,0,G
,Cody Martin,9.4,2022-04-05,26-189,CHO,@,MIA,"L, 115-144",,27,3,5,.600,2,2,1.000,1,3,.333,0,0,,.700,0,2,2,2,3,1,1,0,7,9.4,1.9,-22,G-F
,Cody Martin,9.4,2022-04-10,26-194,CHO,,WAS,"W, 124-108",,24,1,3,.333,1,2,.500,0,1,.000,3,3,1.000,.579,3,2,5,3,2,1,1,1,5,9.4,3.9,13,G-F
,Cody Martin,9.4,2022-01-08,26-102,CHO,,MIL,"W, 114-106",,26,1,2,.500,1,1,1.000,0,1,.000,2,2,1.000,.694,3,3,6,4,2,0,1,1,4,9.4,3.9,2,G-F
,Anthony Mason,9.4,1998-02-11,31-059,CHH,,CHI,"L, 90-92",*,36,3,6,.500,3,6,.500,0,0,,4,4,1.000,.644,1,7,8,4,1,0,3,3,10,9.4,2.0,-2,F
,Anthony Mason,9.4,2000-02-03,33-051,CHH,@,DAL,"L, 96-106",*,41,1,7,.143,1,7,.143,0,0,,6,7,.857,.397,3,5,8,5,1,0,1,2,8,9.4,-0.8,-4,F
,Jason Maxiell,9.4,2015-03-30,32-040,CHO,,BOS,"L, 104-116",,18,3,5,.600,3,5,.600,0,0,,0,0,,.600,3,5,8,3,0,0,0,0,6,9.4,8.2,-6,F-C
,Jalen McDaniels,9.4,2023-01-02,24-336,CHO,,LAL,"L, 115-121",,31,4,10,.400,4,6,.667,0,4,.000,2,2,1.000,.460,1,6,7,2,3,1,2,2,10,9.4,-1.4,18,F
,Jalen McDaniels,9.4,2023-01-08,24-342,CHO,@,IND,"L, 111-116",*,34,7,14,.500,5,9,.556,2,5,.400,1,2,.500,.571,2,4,6,1,1,1,4,3,17,9.4,-3.5,-6,F
,Jeff McInnis,9.4,2007-03-17,32-146,CHA,@,MIL,"L, 91-97",,25,4,9,.444,4,9,.444,0,0,,0,0,,.444,0,3,3,8,0,0,0,1,8,9.4,4.7,7,G
,Josh McRoberts,9.4,2014-04-26,27-057,CHA,,MIA,"L, 85-98",*,37,3,9,.333,1,5,.200,2,4,.500,5,6,.833,.558,0,9,9,2,1,0,2,3,13,9.4,-1.3,-7,F-C
,Josh McRoberts,9.4,2014-01-11,26-317,CHA,@,CHI,"L, 97-103",*,39,4,11,.364,3,6,.500,1,5,.200,0,0,,.409,2,4,6,4,1,3,0,5,9,9.4,1.3,1,F-C
,Brad Miller,9.4,1999-12-23,23-255,CHH,,ORL,"L, 106-110",,19,2,7,.286,2,7,.286,0,0,,3,4,.750,.400,5,4,9,2,1,2,0,4,7,9.4,1.8,11,C-F
,Brad Miller,9.4,2000-01-27,23-290,CHH,,DET,"W, 117-102",,25,4,6,.667,4,6,.667,0,0,,4,5,.800,.732,3,6,9,1,0,0,3,3,12,9.4,-3.1,17,C-F
,Alonzo Mourning,9.4,1994-11-29,24-294,CHH,@,ATL,"W, 90-85",*,46,5,14,.357,5,13,.385,0,1,.000,8,8,1.000,.514,2,4,6,1,0,1,4,2,18,9.4,-5.7,,C-F
,Byron Mullens,9.4,2012-01-13,22-333,CHA,,DET,"L, 81-98",*,29,9,19,.474,9,19,.474,0,0,,0,0,,.474,3,4,7,0,1,0,2,3,18,9.4,-8.3,-14,C-F
,Lee Nailon,9.4,2002-05-15,27-082,CHH,@,NJN,"L, 95-103",,22,3,9,.333,3,8,.375,0,1,.000,8,9,.889,.540,4,1,5,0,1,0,2,3,14,9.4,2.8,-3,F
,Lee Nailon,9.4,2001-12-04,26-285,CHH,@,UTA,"L, 100-104",*,39,6,15,.400,6,15,.400,0,0,,2,2,1.000,.441,2,4,6,3,1,0,1,3,14,9.4,-2.9,-13,F
,Johnny Newman,9.4,1991-01-08,27-041,CHH,,DET,"L, 98-101",*,31,5,11,.455,4,10,.400,1,1,1.000,6,6,1.000,.623,0,0,0,1,0,0,1,4,17,9.4,-1.2,,F-G
,Johnny Newman,9.4,1992-01-20,28-053,CHH,@,GSW,"L, 119-135",*,28,2,8,.250,2,8,.250,0,0,,9,12,.750,.489,1,1,2,5,3,1,5,2,13,9.4,-0.9,,F-G
,Emeka Okafor,9.4,2009-03-28,26-181,CHA,,NYK,"W, 96-85",*,37,6,13,.462,6,13,.462,0,0,,1,4,.250,.440,4,10,14,1,0,2,2,4,13,9.4,-3.5,2,C-F
,Emeka Okafor,9.4,2005-03-08,22-161,CHA,@,MIN,"L, 97-102",*,38,5,11,.455,5,11,.455,0,0,,3,4,.750,.509,5,6,11,0,1,0,3,2,13,9.4,-5.5,-8,C-F
,Jannero Pargo,9.4,2014-01-25,34-095,CHA,,CHI,"L, 87-89",,15,5,8,.625,2,4,.500,3,4,.750,2,2,1.000,.845,0,0,0,2,0,0,3,1,15,9.4,14.9,-13,G
,Robert Parish,9.4,1995-04-05,41-218,CHH,,PHI,"W, 84-66",,23,5,10,.500,5,10,.500,0,0,,2,2,1.000,.551,2,6,8,0,0,0,0,2,12,9.4,3.6,,C
,Tony Parker,9.4,2019-03-01,36-288,CHO,@,BRK,"W, 123-112",,18,6,12,.500,6,10,.600,0,2,.000,0,0,,.500,0,2,2,5,0,1,1,1,12,9.4,1.7,1,G
,Bobby Phills,9.4,1998-03-06,28-076,CHH,,SEA,"W, 104-98",*,32,4,7,.571,3,4,.750,1,3,.333,4,4,1.000,.742,3,5,8,3,0,0,4,5,13,9.4,-1.6,3,G
,Mason Plumlee,9.4,2021-10-24,31-233,CHO,@,BRK,"W, 111-95",*,28,2,2,1.000,2,2,1.000,0,0,,1,4,.250,.665,0,6,6,2,3,2,1,1,5,9.4,5.7,-3,C-F
,Mason Plumlee,9.4,2021-12-29,31-299,CHO,@,IND,"W, 116-108",*,32,3,6,.500,3,6,.500,0,0,,2,4,.500,.515,1,11,12,4,2,0,2,4,8,9.4,-1.5,8,C-F
,Aleksej Pokusevski,9.4,2024-04-10,22-106,CHO,@,ATL,"W, 115-114",,26,3,6,.500,1,4,.250,2,2,1.000,2,2,1.000,.727,0,6,6,1,1,1,1,2,10,9.4,-0.4,5,F
,Aleksej Pokusevski,9.4,2024-04-03,22-099,CHO,,POR,"L, 86-89",,21,2,6,.333,1,3,.333,1,3,.333,6,8,.750,.578,1,2,3,1,0,2,0,2,11,9.4,2.1,-6,F
,Kurt Rambis,9.4,1989-03-14,31-017,CHH,@,DEN,"L, 102-125",*,24,4,6,.667,4,6,.667,0,0,,3,3,1.000,.751,4,6,10,0,0,0,2,4,11,9.4,-2.8,,F
,Theo Ratliff,9.4,2010-03-06,36-323,CHA,,GSW,"W, 101-90",*,18,4,6,.667,4,6,.667,0,0,,3,3,1.000,.751,3,2,5,0,0,1,2,1,11,9.4,3.2,4,C-F
,Glen Rice,9.4,1996-12-27,29-213,CHH,,MIA,"L, 86-101",*,47,7,16,.438,6,13,.462,1,3,.333,3,4,.750,.507,0,5,5,3,1,0,4,1,18,9.4,-3.7,-18,F
,Glen Rice,9.4,1996-04-03,28-311,CHH,@,DET,"L, 83-98",*,38,9,20,.450,8,16,.500,1,4,.250,1,1,1.000,.489,1,3,4,2,0,0,2,3,20,9.4,-1.2,,F
,Nick Richards,9.4,2022-10-26,24-331,CHO,@,NYK,"L, 131-134 (OT)",,19,2,2,1.000,2,2,1.000,0,0,,3,4,.750,.931,2,2,4,2,0,0,0,0,7,9.4,4.7,12,F-C
,Nick Richards,9.4,2022-11-20,24-356,CHO,@,WAS,"L, 102-106",,17,4,8,.500,4,8,.500,0,0,,3,4,.750,.564,4,6,10,0,0,0,1,2,11,9.4,1.0,-5,F-C
,Brian Roberts,9.4,2017-02-01,31-060,CHO,@,GSW,"L, 111-126",,15,2,3,.667,2,2,1.000,0,1,.000,4,4,1.000,.840,0,2,2,3,0,0,0,0,8,9.4,7.0,11,G
,Brian Roberts,9.4,2014-11-24,28-356,CHO,,LAC,"L, 92-113",,27,5,9,.556,4,4,1.000,1,5,.200,0,0,,.611,1,0,1,2,1,0,0,1,11,9.4,1.5,-7,G
,Bernard Robinson,9.4,2005-12-27,25-001,CHA,@,ATL,"W, 93-90",,25,5,7,.714,5,7,.714,0,0,,3,3,1.000,.781,1,2,3,2,0,0,1,6,13,9.4,2.2,-1,G-F
,Eddie Robinson,9.4,1999-11-26,23-221,CHH,,WAS,"W, 118-85",,5,3,4,.750,3,4,.750,0,0,,2,2,1.000,.820,0,1,1,0,2,1,0,0,8,9.4,50.4,7,G-F
,Terry Rozier,9.4,2020-12-30,26-288,CHO,@,DAL,"W, 118-99",*,30,8,17,.471,6,10,.600,2,7,.286,0,0,,.529,1,4,5,3,0,1,3,4,18,9.4,-4.3,11,G
,Ramon Sessions,9.4,2013-11-16,27-219,CHA,,MIA,"L, 81-97",,22,5,8,.625,4,6,.667,1,2,.500,0,0,,.688,0,2,2,3,0,1,1,1,11,9.4,6.6,-11,G
,Ramon Sessions,9.4,2014-01-17,27-281,CHA,@,ORL,"W, 111-101",,21,3,6,.500,3,5,.600,0,1,.000,4,5,.800,.610,0,1,1,5,1,0,2,0,10,9.4,1.2,0,G
,Ish Smith,9.4,2021-12-23,33-171,CHO,@,DEN,"W, 115-107",,15,3,6,.500,2,5,.400,1,1,1.000,2,2,1.000,.654,0,2,2,4,0,2,1,1,9,9.4,10.9,27,G
,Robert Traylor,9.4,2001-11-17,24-289,CHH,,POR,"L, 87-97",,11,3,4,.750,3,4,.750,0,0,,1,3,.333,.658,3,1,4,3,0,1,0,1,7,9.4,25.3,-10,F
,Kelly Tripucka,9.4,1990-02-14,30-363,CHH,@,MIN,"L, 86-95",*,31,6,12,.500,6,12,.500,0,0,,3,3,1.000,.563,1,5,6,4,1,0,4,4,15,9.4,-0.8,,F-G
,Andre Turner,9.4,1989-11-30,24-352,CHH,@,HOU,"L, 101-113",,19,3,8,.375,3,8,.375,0,0,,2,2,1.000,.450,1,1,2,4,4,0,2,0,8,9.4,6.1,,G
,Kemba Walker,9.4,2014-01-01,23-238,CHA,@,LAC,"L, 85-112",*,33,4,10,.400,3,6,.500,1,4,.250,5,5,1.000,.574,0,7,7,3,2,0,5,1,14,9.4,-2.5,-17,G
,Kemba Walker,9.4,2014-01-07,23-244,CHA,,WAS,"L, 83-97",*,39,7,17,.412,5,10,.500,2,7,.286,3,6,.500,.484,0,3,3,8,0,0,5,2,19,9.4,-2.4,-15,G
,Kemba Walker,9.4,2019-01-28,28-265,CHO,,NYK,"W, 101-92",*,36,5,16,.313,3,10,.300,2,6,.333,2,2,1.000,.415,0,5,5,5,0,2,1,2,14,9.4,-2.7,-1,G
,Gerald Wallace,9.4,2006-11-24,24-124,CHA,@,DET,"L, 95-104",*,40,2,14,.143,2,12,.167,0,2,.000,8,10,.800,.326,1,7,8,6,4,0,3,2,12,9.4,-4.0,-11,F
,P.J. Washington,9.4,2022-12-07,24-106,CHO,@,BRK,"L, 116-122",*,30,5,13,.385,4,9,.444,1,4,.250,1,4,.250,.407,0,5,5,7,0,1,1,1,12,9.4,-1.6,2,F
,David Wesley,9.4,2001-05-20,30-187,CHH,@,MIL,"L, 95-104",*,43,7,17,.412,7,13,.538,0,4,.000,1,1,1.000,.430,1,1,2,5,1,0,0,5,15,9.4,-4.4,-3,G
,Mark Williams,9.4,2023-01-21,21-036,CHO,@,ATL,"W, 122-118",,19,3,5,.600,3,5,.600,0,0,,2,3,.667,.633,0,5,5,0,3,0,0,1,8,9.4,3.0,-6,C
,Cody Zeller,9.4,2018-10-27,26-022,CHO,@,PHI,"L, 103-105",*,26,5,8,.625,5,8,.625,0,0,,2,2,1.000,.676,3,3,6,0,1,0,1,5,12,9.4,-1.3,-1,C-F
,Cody Zeller,9.4,2014-02-21,21-139,CHA,,NOP,"W, 90-87",,16,3,7,.429,3,7,.429,0,0,,7,8,.875,.618,2,3,5,2,0,0,2,3,13,9.4,6.4,10,C-F
,Cody Zeller,9.4,2021-02-03,28-121,CHO,,PHI,"L, 111-118",*,31,3,9,.333,3,8,.375,0,1,.000,3,4,.750,.418,5,3,8,4,0,1,0,5,9,9.4,-1.5,-5,C-F
,Cody Zeller,9.4,2021-05-06,28-213,CHO,,CHI,"L, 99-120",,18,5,7,.714,5,6,.833,0,1,.000,1,3,.333,.661,0,5,5,1,1,1,1,2,11,9.4,1.5,2,C-F
,Cody Zeller,9.4,2021-05-15,28-222,CHO,@,NYK,"L, 109-118 (OT)",*,36,4,8,.500,4,8,.500,0,0,,2,2,1.000,.563,4,7,11,3,0,0,2,4,10,9.4,-4.4,2,C-F
,Malik Allen,9.3,2005-03-11,26-257,CHA,@,PHI,"L, 80-112",,23,6,10,.600,6,10,.600,0,0,,0,0,,.600,1,4,5,0,1,0,1,0,12,9.3,2.9,-12,F-C
,D.J. Augustin,9.3,2010-04-07,22-148,CHA,@,NOH,"W, 104-103",,19,5,7,.714,1,2,.500,4,5,.800,0,0,,1.000,0,0,0,2,0,0,2,3,14,9.3,8.9,13,G
,D.J. Augustin,9.3,2008-11-14,21-004,CHA,,UTA,"W, 104-96",,24,1,3,.333,1,3,.333,0,0,,4,4,1.000,.630,2,2,4,4,1,0,0,2,6,9.3,4.7,14,G
,D.J. Augustin,9.3,2010-11-06,22-361,CHA,,ORL,"L, 88-91",*,33,4,8,.500,4,6,.667,0,2,.000,1,1,1.000,.533,0,3,3,8,0,0,1,3,9,9.3,-0.5,-8,G
,D.J. Augustin,9.3,2010-12-31,23-051,CHA,,GSW,"L, 95-96",*,32,5,12,.417,4,6,.667,1,6,.167,1,1,1.000,.482,0,1,1,6,1,0,1,2,12,9.3,-1.1,-4,G
,LaMelo Ball,9.3,2026-02-20,24-182,CHO,,CLE,"L, 113-118",*,27,4,17,.235,2,7,.286,2,10,.200,8,8,1.000,.439,1,1,2,6,0,0,2,4,18,9.3,-6.0,6,G
,LaMelo Ball,9.3,2021-01-27,19-158,CHO,,IND,"L, 106-116",,22,2,4,.500,2,3,.667,0,1,.000,4,4,1.000,.694,1,3,4,5,0,0,1,2,8,9.3,1.5,-24,G
,Nicolas Batum,9.3,2017-12-08,28-359,CHO,,CHI,"L, 111-119 (OT)",*,42,4,14,.286,3,10,.300,1,4,.250,0,0,,.321,1,5,6,10,1,1,2,1,9,9.3,-3.2,-1,F-G
,Nicolas Batum,9.3,2016-11-23,27-345,CHO,,SAS,"L, 114-119",*,40,5,9,.556,3,6,.500,2,3,.667,1,1,1.000,.689,1,6,7,5,0,0,5,1,13,9.3,-4.2,-5,F-G
,Nicolas Batum,9.3,2016-12-01,27-353,CHO,,DAL,"W, 97-87",*,36,4,12,.333,3,7,.429,1,5,.200,3,4,.750,.436,0,9,9,6,1,0,3,1,12,9.3,-3.0,10,F-G
,Nicolas Batum,9.3,2017-02-25,28-073,CHO,@,SAC,"W, 99-85",*,34,4,17,.235,3,11,.273,1,6,.167,6,6,1.000,.382,0,6,6,3,1,1,1,0,15,9.3,-5.2,5,F-G
,Bismack Biyombo,9.3,2021-05-13,28-258,CHO,,LAC,"L, 90-113",*,26,6,9,.667,6,9,.667,0,0,,1,2,.500,.658,5,2,7,1,0,0,3,3,13,9.3,-4.6,-5,C-F
,Muggsy Bogues,9.3,1994-03-05,29-055,CHH,@,GSW,"L, 112-129",*,27,3,9,.333,3,9,.333,0,0,,1,2,.500,.354,2,2,4,8,4,0,3,2,7,9.3,-0.2,,G
,Primož Brezec,9.3,2006-04-15,26-195,CHA,,IND,"W, 92-91 (OT)",*,37,9,22,.409,9,22,.409,0,0,,0,0,,.409,3,5,8,1,1,0,1,3,18,9.3,-3.6,5,C
,Primož Brezec,9.3,2005-11-12,26-041,CHA,@,MIA,"L, 99-108",*,27,5,9,.556,5,9,.556,0,0,,1,2,.500,.557,3,0,3,1,1,0,0,2,11,9.3,-3.3,-9,C
,Miles Bridges,9.3,2019-12-13,21-267,CHO,@,CHI,"W, 83-73",*,36,4,10,.400,3,4,.750,1,6,.167,4,4,1.000,.553,2,7,9,1,1,1,3,3,13,9.3,-0.2,15,G-F
,Miles Bridges,9.3,2024-02-25,25-341,CHO,@,POR,"W, 93-80",*,40,8,18,.444,6,12,.500,2,6,.333,0,1,.000,.488,1,9,10,1,1,0,4,0,18,9.3,-7.3,10,G-F
,Miles Bridges,9.3,2024-12-19,26-273,CHO,@,WAS,"L, 114-123",*,32,7,16,.438,7,12,.583,0,4,.000,2,3,.667,.462,1,7,8,3,0,0,2,2,16,9.3,-9.0,-7,G-F
,Miles Bridges,9.3,2025-03-20,26-364,CHO,,NYK,"W, 115-98",*,33,6,17,.353,4,12,.333,2,5,.400,1,1,1.000,.430,0,10,10,4,0,0,2,0,15,9.3,-3.3,20,G-F
,Miles Bridges,9.3,2021-05-02,23-042,CHO,,MIA,"L, 111-121",*,31,4,12,.333,2,7,.286,2,5,.400,5,6,.833,.512,1,3,4,5,0,0,2,4,15,9.3,-5.7,-17,G-F
,Derrick Brown,9.3,2012-04-04,24-209,CHA,@,ATL,"L, 93-120",,28,4,9,.444,3,7,.429,1,2,.500,2,2,1.000,.557,2,2,4,2,0,0,0,1,11,9.3,-2.1,-17,F
,P.J. Brown,9.3,2002-02-15,32-124,CHH,,IND,"W, 116-106",*,37,3,8,.375,3,8,.375,0,0,,0,0,,.375,6,12,18,1,1,0,1,2,6,9.3,-4.5,13,F-C
,Scott Burrell,9.3,1994-04-06,23-084,CHH,,IND,"W, 129-90",,22,3,6,.500,3,6,.500,0,0,,0,0,,.500,0,6,6,5,0,2,0,1,6,9.3,6.5,,G-F
,Elden Campbell,9.3,2001-04-03,32-254,CHH,@,NJN,"W, 103-88",*,28,4,10,.400,4,10,.400,0,0,,3,4,.750,.468,3,6,9,2,1,2,2,4,11,9.3,-3.3,9,C
,Matt Carroll,9.3,2007-11-09,27-073,CHA,,IND,"W, 96-87",,26,4,8,.500,2,6,.333,2,2,1.000,2,3,.667,.644,0,4,4,3,1,0,1,4,12,9.3,5.2,13,G
,Matt Carroll,9.3,2005-03-12,24-196,CHA,,LAL,"L, 116-117",,9,4,5,.800,4,4,1.000,0,1,.000,4,5,.800,.833,0,0,0,0,0,0,0,1,12,9.3,11.8,8,G
,Matt Carroll,9.3,2005-03-21,24-205,CHA,,ORL,"W, 102-97",,26,4,9,.444,4,8,.500,0,1,.000,4,4,1.000,.558,2,3,5,1,0,0,1,0,12,9.3,-1.1,-3,G
,Rex Chapman,9.3,1991-02-19,23-137,CHH,,IND,"L, 102-115",*,38,4,12,.333,3,10,.300,1,2,.500,6,8,.750,.483,1,1,2,5,0,0,1,4,15,9.3,-4.5,,G
,Rex Chapman,9.3,1991-04-20,23-197,CHH,@,NYK,"L, 102-108",*,28,5,10,.500,5,10,.500,0,0,,1,2,.500,.506,2,0,2,5,1,0,1,3,11,9.3,-1.3,,G
,Derrick Coleman,9.3,2000-02-20,32-244,CHH,,MIA,"L, 80-85",*,34,6,14,.429,5,11,.455,1,3,.333,3,4,.750,.508,3,9,12,0,0,1,2,6,16,9.3,-3.4,-5,F-C
,Derrick Coleman,9.3,1999-03-24,31-276,CHH,,CHI,"W, 110-81",*,31,4,8,.500,4,7,.571,0,1,.000,1,2,.500,.507,1,3,4,2,1,3,1,1,9,9.3,-1.1,19,F-C
,Dante Cunningham,9.3,2011-03-11,23-323,CHA,,POR,"W, 97-92",,19,5,6,.833,5,6,.833,0,0,,1,2,.500,.799,0,2,2,1,1,0,1,1,11,9.3,9.0,13,F
,Earl Cureton,9.3,1989-03-10,31-188,CHH,,LAL,"L, 90-123",,21,3,5,.600,3,5,.600,0,0,,1,2,.500,.595,2,2,4,2,3,0,1,1,7,9.3,4.8,,F-C
,Dell Curry,9.3,1995-02-05,30-225,CHH,,WSB,"W, 111-105",,23,7,12,.583,5,8,.625,2,4,.500,0,0,,.667,0,2,2,3,0,0,3,2,16,9.3,-1.7,,G
,Dell Curry,9.3,1995-04-16,30-295,CHH,,ATL,"L, 93-94",,17,5,9,.556,2,4,.500,3,5,.600,0,0,,.722,0,2,2,0,1,0,1,0,13,9.3,10.8,,G
,Dell Curry,9.3,1989-12-19,25-177,CHH,,DAL,"W, 102-97",,22,8,17,.471,8,17,.471,0,0,,0,0,,.471,0,1,1,1,2,0,1,0,16,9.3,-1.1,,G
,Dell Curry,9.3,1994-01-21,29-210,CHH,@,MIL,"L, 110-113",,29,6,15,.400,4,8,.500,2,7,.286,3,4,.750,.507,2,4,6,1,0,1,2,3,17,9.3,-4.6,,G
,Dell Curry,9.3,1996-11-06,32-134,CHH,,LAL,"W, 88-78",*,41,5,11,.455,4,7,.571,1,4,.250,3,4,.750,.549,1,1,2,2,2,0,3,0,14,9.3,0.3,6,G
,Dell Curry,9.3,1996-03-24,31-273,CHH,@,LAL,"W, 103-94",,28,2,10,.200,2,9,.222,0,1,.000,4,4,1.000,.340,3,2,5,6,1,0,0,1,8,9.3,1.1,,G
,Seth Curry,9.3,2024-12-28,34-127,CHO,,OKC,"L, 94-106",*,22,4,8,.500,3,6,.500,1,2,.500,3,3,1.000,.644,1,1,2,0,0,1,0,1,12,9.3,3.5,-19,G
,Baron Davis,9.3,2001-12-01,22-232,CHH,@,CLE,"L, 81-93",*,44,2,14,.143,0,8,.000,2,6,.333,5,6,.833,.331,2,4,6,9,2,0,2,3,11,9.3,-0.7,-6,G
,Moussa Diabaté,9.3,2025-03-28,23-066,CHO,@,TOR,"L, 97-108",,13,4,6,.667,4,6,.667,0,0,,1,3,.333,.615,3,3,6,0,0,1,0,0,9,9.3,6.0,0,F
,Boris Diaw,9.3,2010-03-23,27-341,CHA,@,WAS,"W, 95-86 (OT)",*,45,7,15,.467,7,12,.583,0,3,.000,3,5,.600,.494,1,2,3,1,2,0,2,3,17,9.3,0.8,10,F-C
,Boris Diaw,9.3,2011-03-19,28-337,CHA,@,SAS,"L, 98-109",*,28,7,14,.500,5,11,.455,2,3,.667,0,0,,.571,1,2,3,4,0,0,3,2,16,9.3,-1.4,-12,F-C
,Jared Dudley,9.3,2008-02-02,22-207,CHA,@,DEN,"L, 101-117",*,31,4,8,.500,4,8,.500,0,0,,3,4,.750,.564,3,5,8,1,0,0,0,4,11,9.3,-4.2,-3,F-G
,Raymond Felton,9.3,2010-01-02,25-190,CHA,@,MIA,"W, 107-97",*,35,3,8,.375,3,6,.500,0,2,.000,3,3,1.000,.483,1,2,3,6,1,0,1,2,9,9.3,-1.5,-7,G
,Raymond Felton,9.3,2006-12-14,22-171,CHA,,ORL,"W, 99-89",*,38,4,12,.333,2,7,.286,2,5,.400,2,2,1.000,.466,0,1,1,6,2,0,2,1,12,9.3,-0.9,0,G
,Raymond Felton,9.3,2008-11-16,24-143,CHA,,ORL,"L, 85-90",*,39,5,14,.357,5,12,.417,0,2,.000,4,6,.667,.421,0,4,4,6,1,1,2,3,14,9.3,1.4,-4,G
,Kenny Gattison,9.3,1991-03-24,26-305,CHH,@,POR,"L, 102-117",,20,5,8,.625,5,8,.625,0,0,,3,4,.750,.666,2,3,5,0,2,0,4,0,13,9.3,0.5,,F-C
,Kenny Gattison,9.3,1991-04-16,26-328,CHH,,MIA,"W, 92-87",,28,3,5,.600,3,5,.600,0,0,,4,4,1.000,.740,1,2,3,1,1,2,2,2,10,9.3,2.9,,F-C
